ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,customer_acquisition_cohort,acquisition_quartile,product_prefix,deal_complexity_score_x,deal_complexity_score_y,total_sales,order_count,clv_b2b,territory_performance_index,customer_value_score,customer_tier
10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,10139,Growth,S1,14,14,151570.98,46,80882.175,0.14445278660885533,0.08967658031400969,Bronze
10375,21,34.91,12,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,10275,Recent,S1,15,15,180124.9,53,210049.803514377,1.0,0.1091008571092068,Bronze
10403,24,100.0,7,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,10253,Recent,S1,9,9,118008.27,29,78172.44745916517,1.0,0.06252151573536294,Bronze
10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,10104,Early,S1,6,6,912294.11,259,390830.2231807512,1.0,0.5152993396387399,Gold
10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,10103,Early,S1,16,16,116599.19,32,65778.52295208655,1.0,0.06520234066938801,Bronze
10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,10112,Early,S1,2,2,75754.88,19,45552.76968698518,1.0,0.040398475567936076,Bronze
10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,10126,Growth,S1,17,17,120615.28,32,84016.36870229007,1.0,0.0667967122594898,Bronze
10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,10117,Growth,S1,11,11,172989.68,43,91908.63639010189,0.09121179679999217,0.09132888493134783,Bronze
10174,34,100.0,4,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,10152,Scale,S1,5,5,59469.12,15,43674.504627766604,0.14445278660885533,0.032121457634630854,Bronze
10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,10194,Scale,S1,11,11,142874.25,41,526758.5984848485,1.0,0.09943267580879472,Bronze
10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,10258,Recent,S1,6,6,120562.74,32,141042.94903846155,0.09121179679999217,0.06901754192631648,Bronze
10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,10139,Growth,S1,11,11,151570.98,46,80882.175,0.14445278660885533,0.08967658031400969,Bronze
10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,10280,Recent,S1,17,17,94117.26,26,1431366.6624999999,1.0,0.10678083828361203,Bronze
10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,10167,Scale,S1,14,14,134259.33,38,98402.92259036144,1.0,0.0773008431710182,Bronze
10304,47,100.0,6,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,10216,Recent,S1,17,17,64834.32,18,93535.67905138338,1.0,0.03872441348619289,Bronze
10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,10120,Growth,S1,12,12,200995.41,55,126270.78253012049,0.14445278660885533,0.11271325808083006,Bronze
10391,24,100.0,4,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,10148,Scale,S1,10,10,153996.13,46,102946.13086080586,0.14445278660885533,0.09107194995497356,Bronze
10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,10104,Early,S1,6,6,912294.11,259,390830.2231807512,1.0,0.5152993396387399,Gold
10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,10120,Growth,S1,15,15,200995.41,55,126270.78253012049,0.14445278660885533,0.11271325808083006,Bronze
10134,27,100.0,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,10134,Growth,S1,7,7,78570.34,20,45811.77971246006,1.0,0.042184142256092155,Bronze
10180,42,100.0,12,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium,10180,Scale,S1,14,14,69052.41,20,244700.2878640777,1.0,0.047883188318364044,Bronze
10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,10181,Scale,S1,8,8,111640.28,29,137201.01750841748,1.0,0.06343619416528738,Bronze
10210,23,100.0,2,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,10210,Recent,S1,17,17,67605.07,20,265331.72634408606,0.09121179679999217,0.048373524517489136,Bronze
10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,10120,Growth,S1,15,15,200995.41,55,126270.78253012049,0.14445278660885533,0.11271325808083006,Bronze
10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,10275,Recent,S1,18,18,180124.9,53,210049.803514377,1.0,0.1091008571092068,Bronze
10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,10123,Growth,S1,2,2,24179.96,7,15873.534892086329,1.0,0.014030402752811649,Bronze
10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,10258,Recent,S1,16,16,120562.74,32,141042.94903846155,0.09121179679999217,0.06901754192631648,Bronze
10361,26,51.15,8,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,10139,Growth,S1,14,14,151570.98,46,80882.175,0.14445278660885533,0.08967658031400969,Bronze
10374,39,100.0,5,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,10152,Scale,S1,6,6,59469.12,15,43674.504627766604,0.14445278660885533,0.032121457634630854,Bronze
10402,45,100.0,1,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,10211,Recent,S1,3,3,93170.66,27,75740.06881959911,1.0,0.054664607831659315,Bronze
10417,45,100.0,5,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,10104,Early,S1,6,6,912294.11,259,390830.2231807512,1.0,0.5152993396387399,Gold
10120,46,100.0,2,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,10120,Growth,S1,15,15,200995.41,55,126270.78253012049,0.14445278660885533,0.11271325808083006,Bronze
10134,31,100.0,4,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,10134,Growth,S1,7,7,78570.34,20,45811.77971246006,1.0,0.042184142256092155,Bronze
10180,41,100.0,11,8892.9,2003-11-11,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large,10180,Scale,S1,14,14,69052.41,20,244700.2878640777,1.0,0.047883188318364044,Bronze
10188,45,100.0,3,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,10181,Scale,S1,8,8,111640.28,29,137201.01750841748,1.0,0.06343619416528738,Bronze
10210,34,100.0,1,6123.4,2004-01-12,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,10210,Recent,S1,17,17,67605.07,20,265331.72634408606,0.09121179679999217,0.048373524517489136,Bronze
10223,49,100.0,3,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,10120,Growth,S1,15,15,200995.41,55,126270.78253012049,0.14445278660885533,0.11271325808083006,Bronze
10275,36,100.0,3,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,10275,Recent,S1,18,18,180124.9,53,210049.803514377,1.0,0.1091008571092068,Bronze
10299,29,100.0,11,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,10155,Scale,S1,11,11,111250.38,30,82365.9,1.0,0.06236245706238509,Bronze
10339,39,76.67,3,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,10258,Recent,S1,16,16,120562.74,32,141042.94903846155,0.09121179679999217,0.06901754192631648,Bronze
10374,22,100.0,1,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,10152,Scale,S1,6,6,59469.12,15,43674.504627766604,0.14445278660885533,0.032121457634630854,Bronze
10403,66,100.0,9,11886.6,2005-04-08,Shipped,2,4,2005,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,10253,Recent,S1,9,9,118008.27,29,78172.44745916517,1.0,0.06252151573536294,Bronze
10417,56,100.0,4,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,10104,Early,S1,6,6,912294.11,259,390830.2231807512,1.0,0.5152993396387399,Gold
10105,50,100.0,2,7208.0,2003-02-11,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,10105,Early,S1,15,15,145041.6,36,66591.42641509433,1.0,0.07610272679186011,Bronze
10119,46,100.0,11,5004.8,2003-04-28,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,10119,Growth,S1,14,14,149798.63,40,72804.92669773634,1.0,0.08202203553143256,Bronze
10129,33,100.0,2,4398.24,2003-06-12,Shipped,2,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,10129,Growth,S1,9,9,88804.5,26,59914.31146025878,1.0,0.05192961308909447,Bronze
10155,32,100.0,13,4526.08,2003-10-06,Shipped,4,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,10155,Scale,S1,13,13,111250.38,30,82365.9,1.0,0.06236245706238509,Bronze
10167,44,100.0,9,5924.16,2003-10-23,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,10167,Scale,S1,16,16,134259.33,38,98402.92259036144,1.0,0.0773008431710182,Bronze
10178,24,100.0,12,3492.48,2003-11-08,Shipped,4,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium,10136,Growth,S1,12,12,70488.44,20,40580.88422712934,1.0,0.040207599850367405,Bronze
10186,26,100.0,9,3854.24,2003-11-14,Shipped,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,10186,Scale,S1,9,9,36019.04,12,187813.5657142857,1.0,0.02914808134381495,Bronze
10197,45,100.0,6,5324.4,2003-11-26,Shipped,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,Medium,10118,Growth,S1,14,14,78411.86,23,49007.4125,1.0,0.04574939797050226,Bronze
10273,30,100.0,4,3508.8,2004-07-21,Shipped,3,7,2004,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,10221,Recent,S1,15,15,74972.52,25,58472.157692307694,1.0,0.04768250670201093,Bronze
10316,33,100.0,17,4128.96,2004-11-01,Shipped,4,11,2004,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium,10232,Recent,S1,18,18,78240.84,26,125805.75594713655,1.0,0.052193137398217876,Bronze
10325,47,64.93,6,3051.71,2004-11-05,Shipped,4,11,2004,Classic Cars,136,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,10103,Early,S1,9,9,116599.19,32,65778.52295208655,1.0,0.06520234066938801,Bronze
10350,26,75.47,5,1962.22,2004-12-02,Shipped,4,12,2004,Classic Cars,136,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,10104,Early,S1,17,17,912294.11,259,390830.2231807512,1.0,0.5152993396387399,Gold
10359,48,54.68,6,2624.64,2004-12-15,Shipped,4,12,2004,Classic Cars,136,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,10121,Growth,S1,8,8,135042.94,41,71024.02463976944,1.0,0.07987576822974221,Bronze
10373,39,100.0,3,4046.25,2005-01-31,Shipped,1,1,2005,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,10151,Scale,S1,17,17,104370.38,32,76343.06352705411,1.0,0.06293500544345523,Bronze
10395,32,100.0,2,3370.56,2005-03-17,Shipped,1,3,2005,Classic Cars,136,S10_4757,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,10134,Growth,S1,4,4,78570.34,20,45811.77971246006,1.0,0.042184142256092155,Bronze
10103,42,100.0,4,5398.26,2003-01-29,Shipped,1,1,2003,Classic Cars,147,S10_4962,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,10103,Early,S1,16,16,116599.19,32,65778.52295208655,1.0,0.06520234066938801,Bronze
10114,31,100.0,8,4305.28,2003-04-01,Shipped,2,4,2003,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,Medium,10114,Growth,S1,10,10,97203.68,23,59132.23866666666,1.0,0.0502654264226107,Bronze
10126,22,100.0,4,3347.74,2003-05-28,Shipped,2,5,2003,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium,10126,Growth,S1,17,17,120615.28,32,84016.36870229007,1.0,0.0667967122594898,Bronze
10150,20,100.0,1,3191.2,2003-09-19,Shipped,3,9,2003,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,10117,Growth,S1,11,11,172989.68,43,91908.63639010189,0.09121179679999217,0.09132888493134783,Bronze
10164,21,100.0,2,3536.82,2003-10-21,Resolved,4,10,2003,Classic Cars,147,S10_4962,Mini Auto Werke,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium,10164,Scale,S1,8,8,52263.9,15,37625.88461538462,1.0,0.030305097200400477,Bronze
10175,33,100.0,9,5362.83,2003-11-06,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,10129,Growth,S1,12,12,88804.5,26,59914.31146025878,1.0,0.05192961308909447,Bronze
10194,26,100.0,4,4263.74,2003-11-25,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Medium,10194,Scale,S1,11,11,142874.25,41,526758.5984848485,1.0,0.09943267580879472,Bronze
10217,48,100.0,4,7020.48,2004-02-04,Shipped,1,2,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Large,10217,Recent,S1,7,7,115498.73,36,94734.91337078653,0.14445278660885533,0.07072781358587162,Bronze
10259,26,100.0,12,4033.38,2004-06-15,Shipped,2,6,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Medium,10217,Recent,S1,13,13,115498.73,36,94734.91337078653,0.14445278660885533,0.07072781358587162,Bronze
10270,32,100.0,2,4302.08,2004-07-19,Shipped,3,7,2004,Classic Cars,147,S10_4962,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,10139,Growth,S1,11,11,151570.98,46,80882.175,0.14445278660885533,0.08967658031400969,Bronze
10291,30,100.0,4,3855.9,2004-09-08,Shipped,3,9,2004,Classic Cars,147,S10_4962,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,10167,Scale,S1,14,14,134259.33,38,98402.92259036144,1.0,0.0773008431710182,Bronze
10334,26,100.0,2,3188.12,2004-11-19,On Hold,4,11,2004,Classic Cars,147,S10_4962,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium,10112,Early,S1,6,6,75754.88,19,45552.76968698518,1.0,0.040398475567936076,Bronze
